"YEAR","GINI","gdp","L_gdp","D_L_gdp","gov_gdp","D_gov_gdp","serv_gdp","D_serv_gdp","infl","unemp","m_unemp","lfpr","D_lfpr","fem_lfpr","D_fem_lfpr","hs","col","hs_fem","col_fem"
1967,0.397,4904864,15.4057379237878,0.0270572913000109,33.8520497204408,1.62933849985547,28.8031173579206,0.490351656813857,2.73504006877245,3.84166666666667,2.33333333333333,59.5666666666667,0.416666666666664,41.1166666666667,0.858333333333334,31.634307293256,10.0606499847421,34.7632787123233,7.5816139510407
1968,0.386,5145914,15.4537135596749,0.047975635887024,33.3630721383995,-0.488977582041251,28.9412332522902,0.138115894369616,4.18307286445727,3.55833333333333,2.15,59.625,0.0583333333333371,41.6083333333333,0.491666666666667,32.5005400633048,10.4922559618293,35.7243696277632,7.95225075501707
1969,0.391,5306594,15.4844607561513,0.0307471964764581,32.3830313756809,-0.980040762718616,29.3784977619237,0.437264509633547,5.31841744492607,3.49166666666667,2.1,60.075,0.450000000000003,42.7,1.09166666666667,33.5341067285383,10.7053364269142,36.9452917011936,8.14365556515453
1970,0.394,5316391,15.486305247653,0.00184449150169463,31.6402612223217,-0.742770153359217,30.5534411065654,1.17494334464172,5.67418497303898,4.98333333333333,3.525,60.3833333333333,0.30833333333333,43.35,0.649999999999999,33.9712743573324,11.0346720336657,37.4832687259895,8.2448241695204
1971,0.396,5491445,15.5187019846819,0.0323967370289129,30.0558596143638,-1.58440160795789,30.7182040606087,0.16476295404323,4.20318225891063,5.95,4.375,60.1583333333333,-0.225000000000001,43.3583333333333,0.00833333333333286,34.375875690383,11.4004718558761,37.7913162862536,8.51038270121847
1972,0.401,5780048,15.5699225451123,0.0512205604304317,28.4046603073192,-1.65119930704455,30.8290921031029,0.110888042494274,3.21987925204645,5.6,3.95833333333333,60.3833333333333,0.225000000000001,43.8833333333333,0.524999999999999,35.2469563495991,12.0252310294872,38.6955190364397,9.03167636351264
1973,0.4,6106371,15.6248432103394,0.0549206652270904,26.8004023993956,-1.6042579079236,30.3736698246638,-0.45542227843913,5.99444852938578,4.85833333333333,3.24166666666667,60.775,0.391666666666666,44.7333333333333,0.850000000000001,35.8371874612372,12.6060992681587,39.1929630930283,9.62390675429355
1974,0.395,6073363,15.6194230458581,-0.0054201644813503,27.5384823861179,0.738079986722227,30.9739633183907,0.600293493726891,10.4853630456469,5.64166666666667,3.85833333333333,61.275,0.5,45.6666666666667,0.93333333333333,36.0506064953698,13.3037694013304,39.4030047010092,10.1334692133206
1975,0.397,6060875,15.6173647370613,-0.00205830879679958,28.2024955142616,0.664013128143679,32.0025948065884,1.02863148819769,8.74901086415263,8.475,6.78333333333333,61.2333333333333,-0.0416666666666643,46.35,0.683333333333337,36.2310410019077,13.8959939091679,39.7407090089071,10.6125022227251
1976,0.398,6387437,15.6698436504318,0.0524789133704697,26.9000226538438,-1.30247286041777,32.099773034442,0.0971782278535827,5.58585776428688,7.7,5.925,61.5833333333333,0.349999999999994,47.3,0.949999999999996,36.3127692514809,14.7213247172859,39.8897467670702,11.276332094176
